,Token,Distance,Model,Color,Price,Motor,Body,Structure,Insurance
29,AZ-R96Zp,۱۲۰٬۸۰۰,۱۳۹۶,سفید,۳۸۲٬۰۰۰٬۰۰۰ تومان,سالم,خط و خش جزیی,سالم و پلمپ,۲ ماه
30,AZ-RRsN6,۱۷۷٬۰۰۰,۱۳۸۴,نقره‌ای,۲۲۸٬۰۰۰٬۰۰۰ تومان,سالم,خط و خش جزیی,سالم و پلمپ,۹ ماه
31,AZ-RdBRz,۱۸۰٬۰۰۰,۱۳۹۰,خاکستری,۳۲۰٬۰۰۰٬۰۰۰ تومان,سالم,خط و خش جزیی,سالم و پلمپ,۶ ماه
32,AZ-RfRl7,۱۵۹٬۰۰۰,۱۳۹۶,سفید,۳۸۰٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۳ ماه
33,AZ-VfYO7,۳۰۰٬۰۰۰,۱۳۸۲,آلبالویی,۱۷۰٬۰۰۰٬۰۰۰ تومان,سالم,دوررنگ,سالم و پلمپ,۷ ماه
34,AZ-VfuZq,۳۰٬۰۰۰,۱۴۰۰,سفید,۴۸۰٬۰۰۰٬۰۰۰ تومان,سالم,صافکاری بی‌رنگ,سالم و پلمپ,۶ ماه
35,AZ-ZNE06,۱۹۳٬۰۰۰,۱۳۸۹,خاکستری,۲۴۵٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,سالم و پلمپ,۱ ماه
36,AZ-ZuFDk,۳٬۴۰۰,۱۴۰۱,سفید,۵۵۸٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۴ ماه
37,AZ-ZuThi,۱۸۵٬۰۰۰,۱۳۸۷,مشکی,۲۸۵٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی، در ۱ ناحیه,سالم و پلمپ,۱۱ ماه
38,AZ-Zzimf,۳۰۰٬۰۰۰,۱۳۸۳,نقره‌ای,۲۱۰٬۰۰۰٬۰۰۰ تومان,,رنگ‌شدگی,سالم و پلمپ,
39,AZ-d-9bh,۶۸٬۰۰۰,۱۴۰۰,سفید,۴۵۵٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۴ ماه
40,AZ-dsN8A,۸٬۲۰۰,۱۳۹۹,سفید,۴۳۵٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۵ ماه
41,AZ-hdMJO,۴۴۰٬۰۰۰,۱۳۸۵,خاکستری,۲۲۵٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,سالم و پلمپ,۱۲ ماه
42,AZ-hdkNR,۳۶۰٬۰۰۰,۱۳۸۴,نقره‌ای,۱۷۰٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۵ ماه
43,AZ-huqYq,۸۸٬۰۰۰,۱۳۹۶,سفید,۴۰۰٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,
44,AZ-l-sfF,۶۳٬۰۰۰,۱۳۹۹,خاکستری,۳۸۰٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,سالم و پلمپ,
45,AZ-l7LaS,۳۷۰٬۰۰۰,۱۳۸۲,نقره‌ای,۱۷۰٬۰۰۰٬۰۰۰ تومان,سالم,دوررنگ,سالم و پلمپ,۱ ماه
46,AZ-lPOOu,۱۶۰٬۰۰۰,۱۳۹۶,سفید,۳۰۰٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,سالم و پلمپ,
47,AZ-libpv,۲۵۰٬۰۰۰,۱۳۸۳,نقره‌ای,۲۵۰٬۰۰۰٬۰۰۰ تومان,سالم,خط و خش جزیی,سالم و پلمپ,۸ ماه
48,AZ-lt7w-,۷۵٬۰۰۰,۱۳۹۶,مشکی,۳۹۰٬۰۰۰٬۰۰۰ تومان,سالم,خط و خش جزیی,سالم و پلمپ,۶ ماه
49,AZ-lurVz,۲۲٬۰۰۰,۱۴۰۰,سفید,۴۴۵٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۶ ماه
50,AZ-lwKQh,۱۱۲٬۰۰۰,۱۳۹۸,سفید,۴۳۵٬۰۰۰٬۰۰۰ تومان,سالم,خط و خش جزیی,سالم و پلمپ,۸ ماه
51,AZ-pBHgr,۴۲٬۰۰۰,۱۳۹۶,سفید,۴۱۰٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۱۲ ماه
52,AZ-pQTP3,۵٬۰۰۰,۱۴۰۱,خاکستری,۴۸۰٬۰۰۰٬۰۰۰ تومان,,سالم و بی‌خط و خش,سالم و پلمپ,
53,AZ-p_L67,۳۰۰٬۰۰۰,۱۳۸۳,نقره‌ای,۲۲۰٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,سالم و پلمپ,۱۰ ماه
54,AZ-pefUv,۰,۱۴۰۱,سفید,۱٬۱۱۱٬۱۱۱٬۱۱۱ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,
55,AZ-pvL6U,۲۰۰٬۰۰۰,۱۳۸۴,مشکی,۲۲۰٬۰۰۰٬۰۰۰ تومان,,خط و خش جزیی,,
56,AZ-tMk6w,۲۴۲٬۰۰۰,۱۳۸۷,نقره‌ای,۲۲۵٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۱۱ ماه
57,AZ-tgGzH,۳۴۰٬۰۰۰,۱۳۸۶,خاکستری,۲۴۸٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۶ ماه
58,AZ-x0twe,۲۷۰٬۰۰۰,۱۳۸۴,خاکستری,۲۱۹٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,سالم و پلمپ,۱۰ ماه
59,AZ-xeawJ,۱۷۶٬۰۰۰,۱۳۸۳,نقره‌ای,۲۳۰٬۰۰۰٬۰۰۰ تومان,سالم,خط و خش جزیی,سالم و پلمپ,۱۲ ماه
60,AZ-xkPKN,۲۵۰٬۰۰۰,۱۳۸۸,سفید,۲۷۰٬۰۰۰٬۰۰۰ تومان,,رنگ‌شدگی، در ۲ ناحیه,سالم و پلمپ,
61,AZ-xtufe,۴۰٬۰۰۰,۱۴۰۰,سفید,۴۵۰٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۱۰ ماه
62,AZ05Or7K,۲۵۰٬۰۰۰,۱۳۸۸,سفید,۱۱۵٬۰۰۰٬۰۰۰ تومان,نیاز به تعمیر,تصادفی,ضربه‌خورده,۳ ماه
63,AZ0V1tZx,۰,۱۴۰۲,سفید,۵۶۷٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۱۲ ماه
64,AZ0ghv9T,۰,۱۴۰۱,سفید,۶۳۰٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۱۲ ماه
65,AZ0lEKbL,۳۸٬۸۰۰,۱۳۹۹,سفید,۴۲۲٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۳ ماه
66,AZ1FPabM,۱۱۹٬۰۰۰,۱۳۹۰,نقره‌ای,۳۱۷٬۰۰۰٬۰۰۰ تومان,سالم,خط و خش جزیی,سالم و پلمپ,۲ ماه
67,AZ1cQ4GI,۰,۱۴۰۱,سفید,۵۲۰٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۱۲ ماه
68,AZ4l9HQi,۱۹۱٬۰۰۰,۱۳۹۰,سفید صدفی,۳۰۰٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,سالم و پلمپ,۷ ماه
69,AZ71Chgb,۵۰٬۰۰۰,۱۳۹۸,سفید,۳۹۸٬۰۰۰٬۰۰۰ تومان,سالم,صافکاری بی‌رنگ,سالم و پلمپ,۷ ماه
70,AZ75y8HH,۲۳۰٬۰۰۰,۱۳۸۳,نقره‌ای,۲۳۰٬۰۰۰٬۰۰۰ تومان,سالم,دوررنگ,سالم و پلمپ,۷ ماه
71,AZ88OdiU,۷۷٬۰۰۰,۱۳۹۸,مشکی,۵۱۳٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۴ ماه
72,AZ8BlGDp,۴۶٬۰۰۰,۱۳۹۷,خاکستری,۴۲۰٬۰۰۰٬۰۰۰ تومان,سالم,خط و خش جزیی,سالم و پلمپ,۱۰ ماه
73,AZ8hlaHh,۲۷۰٬۰۰۰,۱۳۹۰,نوک‌مدادی,۲۴۲٬۰۰۰٬۰۰۰ تومان,سالم,دوررنگ,سالم و پلمپ,۹ ماه
74,AZ8lkBaX,۱۷٬۰۰۰,۱۴۰۰,سفید,۴۷۰٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۱۲ ماه
75,AZ9Bt0nW,۴۷۰٬۰۰۰,۱۳۸۲,مشکی,۲۰۰٬۰۰۰٬۰۰۰ تومان,سالم,دوررنگ,سالم و پلمپ,
76,AZ9JrRSZ,۱۸۲٬۰۰۰,۱۳۸۳,نقره‌ای,۲۰۵٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,سالم و پلمپ,۹ ماه
77,AZ9ZNN-I,۳۳۰٬۰۰۰,۱۳۸۲,نقره‌ای,۱۸۵٬۰۰۰٬۰۰۰ تومان,سالم,دوررنگ,سالم و پلمپ,۱۱ ماه
78,AZ9cUXzi,۵۵٬۰۰۰,۱۳۹۶,سفید,۳۷۰٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۶ ماه
79,AZ9gyd7F,۲۳۵٬۰۰۰,۱۳۸۴,خاکستری,۲۲۰٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۱۱ ماه
80,AZ9hdfPl,۲۶۰٬۰۰۰,۱۳۸۹,سفید,۲۴۵٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,سالم و پلمپ,۷ ماه
81,AZ9hvo5F,۳۴۰٬۰۰۰,۱۳۸۵,خاکستری,۲۲۰٬۰۰۰٬۰۰۰ تومان,سالم,خط و خش جزیی,سالم و پلمپ,۱۰ ماه
82,AZ9tLppA,۶۴٬۵۰۰,۱۳۹۶,نوک‌مدادی,۳۸۵٬۰۰۰٬۰۰۰ تومان,سالم,خط و خش جزیی,سالم و پلمپ,۵ ماه
83,AZA-6lRz,۳۷٬۰۰۰,۱۴۰۰,سفید,۱۰٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۸ ماه
84,AZA-D_mF,۲۵۲٬۰۰۰,۱۳۸۹,سفید,۲۷۰٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,ضربه‌خورده,۱ ماه
85,AZA-H2y0,۳۳۰٬۰۰۰,۱۳۸۵,خاکستری,۲۱۵٬۰۰۰٬۰۰۰ تومان,سالم,دوررنگ,سالم و پلمپ,۸ ماه
86,AZA-KLgY,۰,۱۴۰۱,سفید,۵۲۰٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۵ ماه
87,AZA-TYAt,۱۹٬۵۰۰,۱۳۹۹,سفید,۴۵۵٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۶ ماه
88,AZA-UQdA,۷۵٬۰۰۰,۱۴۰۰,آبی,۴۵۰٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۱۲ ماه
89,AZA-X61g,۹۳٬۰۰۰,۱۳۹۸,سفید,۴۱۵٬۰۰۰٬۰۰۰ تومان,سالم,صافکاری بی‌رنگ,سالم و پلمپ,۹ ماه
90,AZA-kUHe,۲۰۰٬۰۰۰,۱۳۸۱,یشمی,۲۵۰٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۸ ماه
91,AZA-ys_w,۹۴٬۳۰۰,۱۳۹۱,قرمز,۳۲۰٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,سالم و پلمپ,۴ ماه
92,AZA200aV,۲۸٬۰۰۰,۱۳۹۹,سفید,۴۳۰٬۰۰۰٬۰۰۰ تومان,سالم,صافکاری بی‌رنگ,سالم و پلمپ,۷ ماه
93,AZA2YGnj,۲۱٬۰۰۰,۱۴۰۰,سفید,۴۲۵٬۰۰۰٬۰۰۰ تومان,سالم,خط و خش جزیی,سالم و پلمپ,۷ ماه
94,AZA2ZLf6,۱۲۰٬۰۰۰,۱۳۸۴,خاکستری,۲۰۰٬۰۰۰٬۰۰۰ تومان,سالم,دوررنگ,سالم و پلمپ,۷ ماه
95,AZA2ev1R,۱۳۰٬۰۰۰,۱۳۹۵,سفید,۳۵۷٬۰۰۰٬۰۰۰ تومان,سالم,خط و خش جزیی,سالم و پلمپ,۴ ماه
96,AZA2hgaw,۱۳۵٬۰۰۰,۱۳۸۳,مشکی,۲۴۰٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,سالم و پلمپ,۹ ماه
97,AZA2mT6W,۳۰۰٬۰۰۰,۱۳۸۱,نقره‌ای,۱۹۰٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۳ ماه
98,AZA2pQBm,۱۲۴٬۵۸۸,۱۳۸۳,نقره‌ای,۱۹٬۵۰۰٬۰۰۰ تومان,سالم,دوررنگ,سالم و پلمپ,۵ ماه
99,AZA64K0r,۱۴٬۰۰۰,۱۴۰۰,سفید,۴۶۰٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۱۱ ماه
100,AZA6GM5N,۳۵۰٬۰۰۰,۱۳۸۰,قرمز,۱۵۲٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,سالم و پلمپ,۱۱ ماه
101,AZA6H2ql,۲۰۸٬۰۰۰,۱۳۸۸,خاکستری,۲۵۰٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,سالم و پلمپ,۵ ماه
102,AZA6HOBK,۳۰۵٬۰۰۰,۱۳۹۰,سفید,۲۸۰٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۸ ماه
103,AZA6NLFQ,۴۵۰٬۰۰۰,۱۳۸۳,مشکی,۱۹۲٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,سالم و پلمپ,۳ ماه
104,AZA6TpGU,۱۷٬۰۰۰,۱۴۰۰,خاکستری,۴۵۰٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۵ ماه
105,AZA6mDn4,۱٬۱۰۰,۱۴۰۰,خاکستری,۵۰۰٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۱۰ ماه
106,AZACG9nj,۱۶۰٬۰۰۰,۱۳۹۰,نقره‌ای,۲۹۸٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۱۰ ماه
107,AZACMJ5g,۳۰۰٬۰۰۰,۱۳۸۴,خاکستری,۲۱۰٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی، در ۲ ناحیه,سالم و پلمپ,۱ ماه
108,AZACWNbf,۳۸۳٬۰۰۰,۱۳۸۴,نوک‌مدادی,۲۰۹٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۶ ماه
109,AZACcKsn,۴۵۰٬۰۰۰,۱۳۸۴,یشمی,۱۹۵٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۸ ماه
110,AZACkiPt,۲۰٬۵۰۰,۱۴۰۰,خاکستری,۴۵۳٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۸ ماه
111,AZAG4_0l,۲۳۵٬۴۸۰,۱۳۸۹,سفید,۳۲۰٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,سالم و پلمپ,۱۲ ماه
112,AZAGUrP_,۱۷۴٬۰۰۰,۱۳۸۹,سفید,۲۹۵٬۰۰۰٬۰۰۰ تومان,سالم,خط و خش جزیی,سالم و پلمپ,۳ ماه
113,AZAGjVMx,۳۱٬۸۰۰,۱۳۹۷,سفید,۴۱۰٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۱ ماه
114,AZAGjXjl,۱۸۴٬۰۰۰,۱۳۹۱,سفید,۳۱۰٬۰۰۰٬۰۰۰ تومان,,خط و خش جزیی,سالم و پلمپ,
115,AZAK0RJh,۳۰۰٬۰۰۰,۱۳۸۳,خاکستری,۲۰۰٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,سالم و پلمپ,۱۰ ماه
116,AZAKhMYc,۳۰۰٬۰۰۰,۱۳۸۸,مشکی,۲۳۹٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,سالم و پلمپ,۱۲ ماه
117,AZAOTP_f,۳۰۴٬۰۰۰,۱۳۸۳,نقره‌ای,۱۶۵٬۰۰۰٬۰۰۰ تومان,سالم,تمام‌رنگ,سالم و پلمپ,۴ ماه
118,AZAOUAM8,۳۸۳٬۶۱۳,۱۳۸۳,بژ,۱۷۰٬۰۰۰٬۰۰۰ تومان,سالم,خط و خش جزیی,سالم و پلمپ,۶ ماه
119,AZAOWjv0,۲۷۰٬۰۰۰,۱۳۸۵,نقره‌ای,۲۲۰٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۴ ماه
120,AZAOnGZl,۴۰۲٬۰۰۰,۱۳۸۲,مشکی,۱۸۷٬۰۰۰٬۰۰۰ تومان,سالم,دوررنگ,سالم و پلمپ,۶ ماه
121,AZAOr56p,۲۱٬۰۰۰,۱۴۰۰,سفید صدفی,۴۸۰٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۹ ماه
122,AZAOzTjL,۴۲٬۰۰۰,۱۳۹۶,سفید,۴۱۰٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۱۲ ماه
123,AZAS6Ioc,۱۴۴٬۰۰۰,۱۳۹۵,سفید,۳۷۵٬۰۰۰٬۰۰۰ تومان,سالم,خط و خش جزیی,سالم و پلمپ,۴ ماه
124,AZASHI4I,۴۳۰٬۰۰۰,۱۳۸۴,نوک‌مدادی,۲۰۰٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,سالم و پلمپ,۱ ماه
125,AZASKiYy,۱۳۵٬۰۰۰,۱۳۹۶,سفید,۳۷۱٬۰۰۰٬۰۰۰ تومان,سالم,خط و خش جزیی,سالم و پلمپ,۹ ماه
126,AZASSg5o,۱۸۰٬۰۰۰,۱۳۸۹,خاکستری,۲۴۸٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی، در ۲ ناحیه,سالم و پلمپ,۶ ماه
127,AZAW56_x,۷۵٬۰۰۰,۱۳۹۸,قرمز,۴۲۸٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,سالم و پلمپ,۹ ماه
128,AZAWNPni,۱۵٬۰۰۰,۱۴۰۱,سفید,۴۷۵٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۵ ماه
129,AZAWao-c,۱۸۰٬۰۰۰,۱۳۸۴,نقره‌ای,۲۱۰٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,سالم و پلمپ,۱۱ ماه
130,AZAWi_kJ,۹۶٬۰۰۰,۱۳۹۷,سفید,۳۶۰٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,سالم و پلمپ,۶ ماه
131,AZAWm2qc,۲۳۰٬۰۰۰,۱۳۸۲,خاکستری,۱۹۰٬۰۰۰٬۰۰۰ تومان,سالم,دوررنگ,سالم و پلمپ,۱۰ ماه
132,AZAWz8Ng,۴۰۰٬۰۰۰,۱۳۸۴,خاکستری,۱۹۸٬۰۰۰٬۰۰۰ تومان,سالم,دوررنگ,سالم و پلمپ,۵ ماه
133,AZAa3xDr,۳۳٬۰۰۰,۱۴۰۰,سفید,۴۵۰٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۸ ماه
134,AZAaCRlX,۱۴٬۰۰۰,۱۳۹۹,سفید صدفی,۱۱۱٬۱۱۱٬۱۱۱ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۵ ماه
135,AZAaRkbs,۴۸,۱۳۹۹,سفید,۴۹۵٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۶ ماه
136,AZAajcjq,۲۰٬۰۰۰,۱۳۹۸,آبی,۴۰۰٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۹ ماه
137,AZAalFrI,۰,۱۴۰۰,مشکی,۵۴۰٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۱۱ ماه
138,AZAap3ka,۱۸۶٬۰۰۰,۱۳۸۹,نوک‌مدادی,۲۸۰٬۰۰۰٬۰۰۰ تومان,سالم,خط و خش جزیی,سالم و پلمپ,۶ ماه
139,AZAeD6EM,۱۴٬۰۰۰,۱۴۰۰,سفید صدفی,۴۵۰٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۱۲ ماه
